epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
1,223.88,223.88,116.22,4.033937,3.890261,0.075096,0.097343,0.312718,0.075096,0.050622,0.097343,0.057804,2.004903,0.001
2,442.18,218.28,119.2,3.739838,3.679816,0.133321,0.142639,0.404181,0.133321,0.098356,0.142639,0.095054,2.248836,0.001
3,660.74,218.54,119.06,3.589701,3.587622,0.168755,0.168554,0.44338,0.168755,0.13409,0.168554,0.11953,2.37985,0.001
4,880.34,219.58,118.5,3.456789,3.419458,0.203689,0.219512,0.518946,0.203689,0.170811,0.219512,0.178303,2.395995,0.001
5,1099.8,219.45,118.57,3.344347,3.385922,0.235626,0.231054,0.523737,0.235626,0.204479,0.231054,0.199556,2.443738,0.001
6,1318.97,219.16,118.73,3.234839,3.29641,0.268678,0.261324,0.559233,0.268678,0.237513,0.261324,0.214396,2.467819,0.001
7,1537.97,218.98,118.82,3.140624,3.220742,0.289085,0.277875,0.577526,0.289085,0.259247,0.277875,0.247611,2.475502,0.001
8,1757.1,219.12,118.75,3.067748,3.215062,0.31545,0.293772,0.594077,0.31545,0.288514,0.293772,0.259113,2.54673,0.001
9,1976.23,219.11,118.75,2.992285,3.067245,0.336895,0.31838,0.628702,0.336895,0.311553,0.31838,0.293341,2.512574,0.001
10,2195.01,218.77,118.94,2.933393,3.035829,0.353728,0.326655,0.634582,0.353728,0.330156,0.326655,0.30005,2.516155,0.0005
11,2414.07,219.05,118.79,2.773163,2.841664,0.40196,0.387631,0.690331,0.40196,0.379528,0.387631,0.357827,2.527737,0.0005
12,2632.92,218.83,118.9,2.716276,2.836101,0.420215,0.392204,0.685105,0.420215,0.397605,0.392204,0.369225,2.639053,0.0005
13,2851.66,218.73,118.96,2.674971,2.774865,0.432667,0.408972,0.706446,0.432667,0.411617,0.408972,0.386701,2.716569,0.0005
14,3070.18,218.51,119.08,2.633631,2.824338,0.441276,0.403092,0.703397,0.441276,0.420927,0.403092,0.386608,2.777223,0.0005
15,3287.98,217.79,119.47,2.600028,2.730246,0.453843,0.432274,0.71777,0.453843,0.43485,0.432274,0.408822,2.852911,0.0005
16,3507.0,219.01,118.81,2.570794,2.709809,0.46349,0.427483,0.724303,0.46349,0.444728,0.427483,0.40347,2.907695,0.0005
17,3725.43,218.43,119.12,2.535392,2.728816,0.473713,0.438153,0.726916,0.473713,0.455168,0.438153,0.414776,2.915346,0.0005
18,3944.4,218.97,118.83,2.505157,2.664992,0.482706,0.442291,0.738676,0.482706,0.465016,0.442291,0.417635,2.986961,0.0005
19,4163.65,219.23,118.69,2.476348,2.656147,0.491084,0.449913,0.736934,0.491084,0.473841,0.449913,0.426367,3.008946,0.0005
20,4383.15,219.49,118.55,2.451842,2.683262,0.498386,0.446646,0.732143,0.498386,0.481883,0.446646,0.422169,3.062497,0.00025
21,4602.41,219.26,118.67,2.357572,2.566372,0.531015,0.476481,0.763937,0.531015,0.514786,0.476481,0.456659,3.025889,0.00025
22,4821.84,219.42,118.59,2.323074,2.553085,0.540085,0.478659,0.757186,0.540085,0.523314,0.478659,0.459616,3.113236,0.00025
23,5041.66,219.8,118.38,2.31195,2.565987,0.543121,0.478876,0.756751,0.543121,0.52772,0.478876,0.460548,3.18752,0.00025
24,5260.85,219.18,118.72,2.288237,2.545141,0.548847,0.488894,0.766551,0.548847,0.532889,0.488894,0.474226,3.231233,0.00025
25,5479.65,218.79,118.93,2.273281,2.537143,0.554881,0.486934,0.765244,0.554881,0.539744,0.486934,0.469175,3.299025,0.00025
26,5699.49,219.84,118.36,2.258649,2.529325,0.557533,0.48628,0.766333,0.557533,0.5426,0.48628,0.467149,3.352984,0.00025
27,5918.13,218.64,119.01,2.238045,2.535013,0.565104,0.494991,0.763937,0.565104,0.551122,0.494991,0.477194,3.410978,0.00025
28,6136.84,218.7,118.98,2.223868,2.518808,0.567294,0.493249,0.768075,0.567294,0.552449,0.493249,0.477532,3.468811,0.00025
29,6356.13,219.28,118.66,2.206366,2.525249,0.578593,0.496733,0.77439,0.578593,0.564624,0.496733,0.476522,3.483095,0.00025
30,6575.24,219.1,118.76,2.191207,2.517536,0.580861,0.500653,0.770688,0.580861,0.566674,0.500653,0.48245,3.550846,0.000125
31,6794.35,219.1,118.76,2.135829,2.453273,0.601268,0.513284,0.782012,0.601268,0.587163,0.513284,0.498332,3.524029,0.000125
32,7013.77,219.41,118.59,2.116497,2.467385,0.605803,0.514808,0.779834,0.605803,0.591261,0.514808,0.497972,3.566304,0.000125
33,7233.17,219.4,118.6,2.107502,2.449706,0.610415,0.516986,0.780052,0.610415,0.596118,0.516986,0.499497,3.623376,0.000125
34,7452.77,219.58,118.5,2.098227,2.459226,0.614566,0.522213,0.783972,0.614566,0.600482,0.522213,0.505984,3.668479,0.000125
35,7671.61,218.83,118.91,2.087661,2.456736,0.613836,0.516986,0.78615,0.613836,0.599804,0.516986,0.500302,3.712945,0.000125
36,7890.88,219.27,118.67,2.079003,2.442756,0.616949,0.519599,0.78811,0.616949,0.603104,0.519599,0.499945,3.764973,0.000125
37,8109.63,218.75,118.95,2.064136,2.449108,0.624673,0.512848,0.78419,0.624673,0.611079,0.512848,0.499276,3.775335,0.000125
38,8328.34,218.71,118.97,2.058446,2.45223,0.626941,0.513502,0.784843,0.626941,0.613216,0.513502,0.494943,3.85452,0.000125
39,8547.46,219.13,118.74,2.051135,2.468993,0.624942,0.513066,0.775479,0.624942,0.611302,0.513066,0.50013,3.892285,0.000125
40,8766.57,219.11,118.76,2.037245,2.4515,0.629823,0.522648,0.780923,0.629823,0.615655,0.522648,0.506268,3.924812,6.25e-05
41,8985.51,218.93,118.85,2.009809,2.445302,0.641507,0.516333,0.78223,0.641507,0.627658,0.516333,0.49951,3.913054,6.25e-05
42,9205.27,219.76,118.4,2.00467,2.428838,0.642929,0.524826,0.78615,0.642929,0.629259,0.524826,0.507477,3.930652,6.25e-05
