epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
43,9423.43,218.15,119.28,1.99547,2.426102,0.647463,0.53027,0.787456,0.647463,0.634342,0.53027,0.512738,3.9733,6.25e-05
44,9643.04,219.59,118.49,1.983406,2.437949,0.65342,0.525479,0.783319,0.65342,0.640616,0.525479,0.511067,3.977569,6.25e-05
45,9862.91,219.88,118.34,1.983303,2.423563,0.649154,0.52635,0.788545,0.649154,0.635517,0.52635,0.508997,4.028373,6.25e-05
46,10081.97,219.05,118.78,1.98107,2.423769,0.647156,0.52439,0.782883,0.647156,0.634121,0.52439,0.508791,4.064448,6.25e-05
47,10301.07,219.1,118.76,1.974674,2.422732,0.656879,0.527003,0.784843,0.656879,0.643128,0.527003,0.511294,4.085962,6.25e-05
48,10520.79,219.72,118.42,1.970303,2.423334,0.654266,0.522648,0.790941,0.654266,0.641357,0.522648,0.504846,4.116895,6.25e-05
49,10739.15,218.36,119.16,1.961974,2.427872,0.656995,0.530052,0.787456,0.656995,0.644242,0.530052,0.514765,4.143533,6.25e-05
50,10957.73,218.56,119.05,1.962741,2.425205,0.656533,0.527221,0.789199,0.656533,0.644112,0.527221,0.511275,4.160899,3.125e-05
51,11176.67,218.94,118.84,1.9385,2.421977,0.668601,0.531794,0.792683,0.668601,0.65491,0.531794,0.516656,4.138577,3.125e-05
52,11395.48,218.8,118.92,1.937726,2.409616,0.665257,0.533319,0.795514,0.665257,0.653265,0.533319,0.519052,4.174305,3.125e-05
53,11614.8,219.3,118.65,1.928298,2.416447,0.667333,0.531141,0.786368,0.667333,0.654038,0.531141,0.515422,4.161307,3.125e-05
54,11834.47,219.68,118.45,1.931309,2.422311,0.66864,0.528963,0.791594,0.66864,0.65564,0.528963,0.512474,4.184756,3.125e-05
55,12054.29,219.82,118.37,1.925689,2.423284,0.67156,0.53223,0.785932,0.67156,0.659606,0.53223,0.513858,4.20172,3.125e-05
56,12273.07,218.79,118.93,1.924039,2.424963,0.672214,0.528528,0.789199,0.672214,0.659053,0.528528,0.514,4.231503,3.125e-05
57,12491.54,218.47,119.1,1.924808,2.419356,0.672022,0.531794,0.78811,0.672022,0.658977,0.531794,0.516877,4.245555,3.125e-05
58,12709.95,218.41,119.14,1.919393,2.425366,0.670484,0.525915,0.794425,0.670484,0.658823,0.525915,0.508998,4.242483,3.125e-05
59,12928.08,218.13,119.29,1.919946,2.413361,0.6706,0.525697,0.790723,0.6706,0.658521,0.525697,0.509403,4.283728,3.125e-05
60,13146.87,218.79,118.93,1.919853,2.414907,0.672829,0.526568,0.789852,0.672829,0.659797,0.526568,0.511103,4.311103,1.5625e-05
