epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
45,4549.09,100.03,260.12,1.969069,2.558813,0.647925,0.480183,0.755226,0.647925,0.632745,0.480183,0.464222,4.00446,6.25e-05
46,4648.42,99.3,262.04,1.969239,2.54363,0.64485,0.490418,0.761542,0.64485,0.631024,0.490418,0.473677,4.070715,6.25e-05
47,4751.88,103.43,251.58,1.9549,2.550291,0.649885,0.481925,0.7598,0.649885,0.635535,0.481925,0.465226,4.068203,6.25e-05
48,4851.83,99.92,260.4,1.95606,2.569478,0.649923,0.473868,0.758929,0.649923,0.635918,0.473868,0.456134,4.101297,6.25e-05
49,4950.21,98.34,264.59,1.949343,2.55305,0.650307,0.479312,0.758711,0.650307,0.634999,0.479312,0.463408,4.133006,6.25e-05
50,5048.42,98.19,265.01,1.944294,2.558473,0.654958,0.477787,0.759364,0.654958,0.639986,0.477787,0.459858,4.142421,3.125e-05
51,5146.69,98.24,264.87,1.921809,2.551988,0.663221,0.481054,0.762413,0.663221,0.649589,0.481054,0.463168,4.122982,3.125e-05
52,5244.47,97.75,266.19,1.926662,2.545339,0.65907,0.486498,0.765462,0.65907,0.644827,0.486498,0.472827,4.14905,3.125e-05
53,5343.01,98.5,264.15,1.917488,2.558328,0.665373,0.47169,0.760017,0.665373,0.652157,0.47169,0.455339,4.14494,3.125e-05
54,5441.31,98.27,264.78,1.915697,2.558244,0.665949,0.484974,0.754791,0.665949,0.651243,0.484974,0.468853,4.144238,3.125e-05
55,5539.49,98.15,265.11,1.910616,2.553224,0.66641,0.481707,0.757186,0.66641,0.654045,0.481707,0.466351,4.161889,3.125e-05
56,5638.19,98.67,263.7,1.907753,2.548437,0.66837,0.486063,0.762631,0.66837,0.655057,0.486063,0.469898,4.153292,3.125e-05
57,5737.91,99.69,261.02,1.911492,2.55343,0.666526,0.483014,0.76176,0.666526,0.652211,0.483014,0.468447,4.202384,3.125e-05
58,5836.49,98.55,264.03,1.903891,2.551512,0.667256,0.480401,0.756315,0.667256,0.65266,0.480401,0.465592,4.217049,3.125e-05
59,5935.03,98.5,264.16,1.901976,2.550162,0.669792,0.482796,0.763284,0.669792,0.656704,0.482796,0.467501,4.228308,3.125e-05
60,6033.23,98.17,265.05,1.897954,2.548523,0.670561,0.478223,0.760017,0.670561,0.656137,0.478223,0.461689,4.249976,1.5625e-05
