epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
37,6890.94,186.48,139.53,2.047564,2.482087,0.626518,0.505009,0.777439,0.626518,0.610613,0.505009,0.48917,3.921189,0.000125
38,7077.09,186.16,139.77,2.045796,2.495196,0.625557,0.501742,0.774172,0.625557,0.610165,0.501742,0.485558,3.999499,0.000125
39,7263.32,186.23,139.72,2.033322,2.481903,0.63359,0.502395,0.777657,0.63359,0.618429,0.502395,0.489151,4.055892,0.000125
40,7450.31,186.99,139.15,2.022247,2.480579,0.634012,0.508493,0.777221,0.634012,0.619757,0.508493,0.490962,4.067194,6.25e-05
41,7636.36,186.03,139.87,1.991862,2.463594,0.645734,0.510017,0.774826,0.645734,0.630665,0.510017,0.495316,4.058383,6.25e-05
42,7821.97,185.61,140.19,1.984987,2.451995,0.648578,0.516115,0.783319,0.648578,0.633498,0.516115,0.500065,4.08089,6.25e-05
43,8007.02,185.04,140.62,1.978943,2.458377,0.649885,0.516333,0.781141,0.649885,0.635812,0.516333,0.499464,4.12572,6.25e-05
44,8192.62,185.59,140.2,1.967473,2.458667,0.656726,0.511542,0.780052,0.656726,0.643719,0.511542,0.496597,4.118202,6.25e-05
45,8378.22,185.6,140.19,1.964586,2.451068,0.655957,0.515897,0.785714,0.655957,0.642564,0.515897,0.499593,4.14573,6.25e-05
46,8564.36,186.14,139.79,1.967156,2.446107,0.652575,0.518946,0.786803,0.652575,0.638274,0.518946,0.503868,4.222887,6.25e-05
47,8750.76,186.39,139.6,1.955414,2.448458,0.659454,0.510453,0.782448,0.659454,0.643836,0.510453,0.493195,4.221106,6.25e-05
48,8936.97,186.2,139.74,1.949323,2.458671,0.661914,0.517639,0.780706,0.661914,0.647815,0.517639,0.500697,4.257504,6.25e-05
49,9123.38,186.41,139.58,1.947579,2.467168,0.661568,0.511542,0.776786,0.661568,0.647043,0.511542,0.495061,4.284108,6.25e-05
50,9309.74,186.37,139.62,1.940852,2.460704,0.663413,0.515462,0.783972,0.663413,0.648754,0.515462,0.500973,4.303751,3.125e-05
51,9496.2,186.46,139.55,1.91591,2.451238,0.67352,0.517204,0.787456,0.67352,0.659335,0.517204,0.502017,4.263072,3.125e-05
52,9682.33,186.13,139.79,1.92038,2.455492,0.670369,0.515244,0.783101,0.670369,0.656364,0.515244,0.500562,4.32153,3.125e-05
53,9868.97,186.64,139.41,1.909124,2.444251,0.673636,0.518075,0.784408,0.673636,0.660381,0.518075,0.501267,4.30051,3.125e-05
54,10054.6,185.63,140.17,1.916215,2.450936,0.673636,0.511977,0.785932,0.673636,0.659214,0.511977,0.497931,4.341696,3.125e-05
55,10240.69,186.08,139.83,1.907686,2.459822,0.675442,0.515462,0.780052,0.675442,0.662412,0.515462,0.500298,4.355447,3.125e-05
56,10427.14,186.46,139.55,1.907717,2.458043,0.678324,0.512848,0.782666,0.678324,0.664301,0.512848,0.496304,4.378927,3.125e-05
57,10613.38,186.24,139.72,1.906618,2.436381,0.677402,0.515244,0.786803,0.677402,0.662983,0.515244,0.500882,4.403056,3.125e-05
58,10800.11,186.73,139.35,1.901023,2.451216,0.677556,0.521341,0.78223,0.677556,0.663797,0.521341,0.507083,4.388797,3.125e-05
59,10987.23,187.11,139.06,1.89722,2.438306,0.680323,0.520253,0.786368,0.680323,0.66712,0.520253,0.505504,4.381696,3.125e-05
60,11173.48,186.24,139.71,1.895246,2.444938,0.680553,0.521124,0.780488,0.680553,0.666329,0.521124,0.507013,4.422862,1.5625e-05
