epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
1,182.01,182.01,142.96,4.063552,3.942935,0.067179,0.092552,0.286803,0.067179,0.046422,0.092552,0.049129,2.054359,0.001
2,368.73,186.7,139.37,3.757012,3.70118,0.127402,0.144382,0.389591,0.127402,0.093258,0.144382,0.092967,2.182877,0.001
3,554.81,186.07,139.84,3.60057,3.56072,0.167256,0.168118,0.458188,0.167256,0.13403,0.168118,0.127853,2.278392,0.001
4,740.91,186.08,139.83,3.460677,3.412945,0.202114,0.220166,0.512195,0.202114,0.168492,0.220166,0.175325,2.385433,0.001
5,927.29,186.37,139.62,3.338451,3.362925,0.233551,0.225174,0.525697,0.233551,0.200764,0.225174,0.193883,2.516991,0.001
6,1113.36,186.06,139.85,3.232858,3.325135,0.263874,0.251742,0.546821,0.263874,0.233551,0.251742,0.203463,2.554997,0.001
7,1299.56,186.18,139.76,3.146639,3.220451,0.287894,0.268728,0.585148,0.287894,0.257191,0.268728,0.239679,2.608402,0.001
8,1486.05,186.48,139.53,3.072234,3.207735,0.311453,0.284408,0.593641,0.311453,0.283571,0.284408,0.253221,2.596945,0.001
9,1672.06,185.99,139.9,3.009823,3.169362,0.328401,0.296167,0.600392,0.328401,0.302466,0.296167,0.272161,2.599046,0.001
10,1858.68,186.61,139.44,2.950201,3.01266,0.348117,0.331882,0.638066,0.348117,0.323302,0.331882,0.30599,2.607072,0.0005
11,2045.33,186.64,139.41,2.797336,2.866814,0.392506,0.374347,0.675523,0.392506,0.368251,0.374347,0.343247,2.597605,0.0005
12,2231.51,186.17,139.77,2.741504,2.842875,0.410915,0.378702,0.686411,0.410915,0.387589,0.378702,0.35299,2.706425,0.0005
13,2418.19,186.66,139.4,2.697917,2.825857,0.418947,0.385235,0.696646,0.418947,0.396526,0.385235,0.361842,2.788863,0.0005
14,2604.68,186.47,139.54,2.658841,2.829022,0.428363,0.389808,0.696429,0.428363,0.406936,0.389808,0.371186,2.860046,0.0005
15,2790.71,186.02,139.88,2.621912,2.804418,0.446849,0.392639,0.703179,0.446849,0.426981,0.392639,0.368647,2.9417,0.0005
16,2977.35,186.64,139.41,2.588145,2.740679,0.455803,0.412239,0.708188,0.455803,0.435831,0.412239,0.386149,2.991121,0.0005
17,3163.35,185.99,139.9,2.5476,2.730553,0.467179,0.425523,0.718641,0.467179,0.446106,0.425523,0.39942,3.031018,0.0005
18,3349.78,186.41,139.58,2.515907,2.708713,0.474904,0.420514,0.716899,0.474904,0.456428,0.420514,0.401099,3.115586,0.0005
19,3536.48,186.69,139.37,2.483337,2.68098,0.48847,0.435105,0.73824,0.48847,0.470406,0.435105,0.414592,3.131509,0.0005
20,3722.71,186.22,139.73,2.456083,2.653513,0.497425,0.446864,0.735627,0.497425,0.479138,0.446864,0.423889,3.189405,0.00025
21,3908.89,186.15,139.78,2.35486,2.585779,0.530054,0.470166,0.748476,0.530054,0.512324,0.470166,0.452146,3.149327,0.00025
22,4095.39,186.49,139.52,2.325152,2.581393,0.540776,0.471472,0.744774,0.540776,0.522834,0.471472,0.452185,3.233723,0.00025
23,4281.91,186.51,139.51,2.313496,2.582338,0.539393,0.472561,0.756533,0.539393,0.522898,0.472561,0.454912,3.309512,0.00025
24,4467.54,185.61,140.18,2.284701,2.573492,0.549116,0.472997,0.751089,0.549116,0.532579,0.472997,0.455742,3.365256,0.00025
25,4654.03,186.48,139.53,2.265323,2.564391,0.555188,0.473868,0.75784,0.555188,0.538295,0.473868,0.455161,3.402423,0.00025
26,4840.35,186.31,139.66,2.250732,2.55355,0.560607,0.482361,0.76176,0.560607,0.543389,0.482361,0.461194,3.473679,0.00025
27,5026.83,186.47,139.54,2.230714,2.54616,0.570215,0.483449,0.761324,0.570215,0.554117,0.483449,0.463726,3.540286,0.00025
28,5212.54,185.7,140.12,2.21601,2.520152,0.569408,0.485409,0.765462,0.569408,0.553053,0.485409,0.471281,3.591308,0.00025
29,5398.99,186.44,139.57,2.194959,2.523806,0.578248,0.486716,0.765462,0.578248,0.56289,0.486716,0.468197,3.639981,0.00025
30,5585.23,186.24,139.71,2.183317,2.544726,0.580669,0.486498,0.760889,0.580669,0.564664,0.486498,0.467737,3.678261,0.000125
31,5771.7,186.47,139.54,2.120781,2.480667,0.60538,0.50196,0.775044,0.60538,0.59057,0.50196,0.485816,3.652838,0.000125
32,5958.11,186.4,139.59,2.103216,2.489381,0.609108,0.505009,0.77635,0.609108,0.593414,0.505009,0.487176,3.68491,0.000125
33,6144.38,186.26,139.7,2.093181,2.492451,0.611875,0.496733,0.774608,0.611875,0.596796,0.496733,0.480936,3.769293,0.000125
34,6330.72,186.34,139.64,2.08804,2.4907,0.617986,0.503267,0.779399,0.617986,0.603016,0.503267,0.489196,3.829107,0.000125
35,6517.4,186.66,139.4,2.075514,2.485884,0.617333,0.497169,0.773084,0.617333,0.601818,0.497169,0.482767,3.850007,0.000125
36,6704.44,187.04,139.11,2.06363,2.474413,0.621791,0.508057,0.775044,0.621791,0.606533,0.508057,0.490445,3.896137,0.000125
