epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
1,86.63,86.63,300.36,4.129068,3.947188,0.05711,0.089939,0.287239,0.05711,0.038871,0.089939,0.052182,4.86487,0.001
2,174.0,87.35,297.88,3.841061,3.722434,0.111107,0.142857,0.383929,0.111107,0.080603,0.142857,0.090187,3.459973,0.001
3,254.36,80.35,323.85,3.671143,3.648154,0.148002,0.153963,0.41703,0.148002,0.116603,0.153963,0.114723,3.302985,0.001
4,335.0,80.63,322.71,3.541049,3.534332,0.179862,0.183362,0.45993,0.179862,0.146485,0.183362,0.141584,3.128452,0.001
5,411.14,76.13,341.79,3.448547,3.435439,0.204727,0.209495,0.490636,0.204727,0.171168,0.209495,0.168147,3.029292,0.001
6,491.1,79.95,325.47,3.368871,3.360123,0.221791,0.223868,0.516333,0.221791,0.189287,0.223868,0.182145,2.954735,0.001
7,569.63,78.52,331.39,3.298839,3.329403,0.238586,0.244991,0.526786,0.238586,0.207276,0.244991,0.208397,2.872536,0.001
8,642.68,73.03,356.27,3.237072,3.305061,0.257302,0.246733,0.53615,0.257302,0.227645,0.246733,0.2102,2.878116,0.001
9,724.85,82.16,316.71,3.176643,3.323261,0.272291,0.234974,0.531577,0.272291,0.243675,0.234974,0.209485,2.874981,0.001
10,797.15,72.3,359.91,3.131088,3.221494,0.283666,0.265244,0.56446,0.283666,0.257138,0.265244,0.236864,2.851564,0.0005
11,869.75,72.59,358.46,2.994033,3.067308,0.320638,0.307709,0.606272,0.320638,0.295662,0.307709,0.279056,2.844345,0.0005
12,932.07,62.31,417.61,2.940388,3.070622,0.336933,0.315331,0.608014,0.336933,0.312696,0.315331,0.289082,2.995207,0.0005
13,999.28,67.2,387.19,2.902973,3.03455,0.348347,0.318815,0.624782,0.348347,0.324458,0.318815,0.295868,3.063468,0.0005
